id,query,retrieval,reasoner,actor,total
1,What's the typical price of a T-shirt and is it in stock?,3.933906555175781e-05,2.47955322265625e-05,0.005900144577026367,0.006113529205322266
2,How should I care for my leather jacket?,3.719329833984375e-05,2.4080276489257812e-05,0.001081228256225586,0.0011699199676513672
3,"Are sunglasses in stock? If yes, what's the price?",4.9591064453125e-05,5.7697296142578125e-05,0.0005719661712646484,0.0007197856903076172
4,What's a short plan to make a white sneaker last longer?,4.5299530029296875e-05,1.9788742065429688e-05,0.00032591819763183594,0.0004076957702636719
5,Find price for 'Dress' and stock level.,4.315376281738281e-05,1.3113021850585938e-05,0.0004181861877441406,0.00048732757568359375
6,Recommend three accessories and a one-line care tip each.,4.363059997558594e-05,1.2636184692382812e-05,0.0003025531768798828,0.0003726482391357422
7,Is there guidance about sustainability in the KB? Summarize.,4.363059997558594e-05,1.52587890625e-05,0.00030231475830078125,0.00037598609924316406
8,Lookup price for 'Jeans'.,4.172325134277344e-05,1.1920928955078125e-05,0.00036072731018066406,0.00042629241943359375
9,What's the source_date for the T-shirt price?,2.6464462280273438e-05,1.2159347534179688e-05,0.0002987384796142578,0.0003516674041748047
10,Lookup price of 'Leather Jacket'.,2.574920654296875e-05,1.239776611328125e-05,0.0003685951232910156,0.00042128562927246094
